mexico freed us marine reservist sgt|us|,墨西哥,释放,我们,海洋,预备役,上士|我们|我们|pronoun|我们|我们|我们(pronoun)+|
an official told the nations official news agency|official|一,位,官员,告诉,联合国,官方,通讯社|官方|官方|adjective|官方|官方|官方(adjective)+正式(adjective)+官(noun)+臣(noun)+宦(noun)+僚(noun)+仕(noun)+宰(noun)+|
an official told the nations official news agency|news|一,位,官员,告诉,联合国,官方,通讯社|讯|通讯社|noun|新闻|新闻|新闻(noun)+消息(noun)+息(noun)+信息(noun)+讯(noun)+音(noun)+音信(noun)+|
an official told the nations official news agency|agency|一,位,官员,告诉,联合国,官方,通讯社|||noun|机构|机构|机构(noun)+办事处(noun)+帮助(noun)+媒介(noun)+|
the official said she logged on to terrorist websites recently according to the wam news agency|official|这,位,官员,说,她,登录,到,恐怖,网站,最近,阿拉伯,联合,酋长国,通讯社|官|官员|noun|官|官方|官方(adjective)+正式(adjective)+官(noun)+臣(noun)+宦(noun)+僚(noun)+仕(noun)+宰(noun)+|
the official said she logged on to terrorist websites recently according to the wam news agency|recently|这,位,官员,说,她,登录,到,恐怖,网站,最近,阿拉伯,联合,酋长国,通讯社|最近|最近|adverb|最近|最近|最近(adverb)+近日(adverb)+近来(adverb)+新近(adverb)+新(adverb)+|
the official said she logged on to terrorist websites recently according to the wam news agency|news|这,位,官员,说,她,登录,到,恐怖,网站,最近,阿拉伯,联合,酋长国,通讯社|讯|通讯社|noun|新闻|新闻|新闻(noun)+消息(noun)+息(noun)+信息(noun)+讯(noun)+音(noun)+音信(noun)+|
the official said she logged on to terrorist websites recently according to the wam news agency|agency|这,位,官员,说,她,登录,到,恐怖,网站,最近,阿拉伯,联合,酋长国,通讯社|||noun|机构|机构|机构(noun)+办事处(noun)+帮助(noun)+媒介(noun)+|
the suspect who has not been identified is accused of killing 47-year-old american teacher ibolya ryan last week in the restroom of an upscale mall in abu dhabi|suspect|尚,未,确定,的,犯罪,嫌疑人,被,指控,杀害,年,仅,47,岁,的,美国,老师,ibolya,瑞安,上周,在,阿布扎比,的,一,个,高档,商场,的,洗手间|疑|嫌疑人|noun|可疑分子|怀疑|怀疑(verb)+疑(verb)+猜想(verb)+猜(verb)+犯疑(verb)+疑心(verb)+可疑分子(noun)+涉嫌人(noun)+可疑的(adjective)+有嫌疑的(adjective)+|
the suspect who has not been identified is accused of killing 47-year-old american teacher ibolya ryan last week in the restroom of an upscale mall in abu dhabi|who|尚,未,确定,的,犯罪,嫌疑人,被,指控,杀害,年,仅,47,岁,的,美国,老师,ibolya,瑞安,上周,在,阿布扎比,的,一,个,高档,商场,的,洗手间|||pronoun|谁|谁|谁(pronoun)+何人(pronoun)+孰(pronoun)+|
the suspect who has not been identified is accused of killing 47-year-old american teacher ibolya ryan last week in the restroom of an upscale mall in abu dhabi|not|尚,未,确定,的,犯罪,嫌疑人,被,指控,杀害,年,仅,47,岁,的,美国,老师,ibolya,瑞安,上周,在,阿布扎比,的,一,个,高档,商场,的,洗手间|未|未|adverb|不|不|不(adverb)+未(adverb)+无(adverb)+非(adverb)+弗(adverb)+没(adverb)+靡(adverb)+叵(adverb)+毋(adverb)+|
the suspect who has not been identified is accused of killing 47-year-old american teacher ibolya ryan last week in the restroom of an upscale mall in abu dhabi|teacher|尚,未,确定,的,犯罪,嫌疑人,被,指控,杀害,年,仅,47,岁,的,美国,老师,ibolya,瑞安,上周,在,阿布扎比,的,一,个,高档,商场,的,洗手间|老师|老师|noun|教师|教师|教师(noun)+老师(noun)+师(noun)+导师(noun)+傅(noun)+教员(noun)+师长(noun)+先生(noun)+|
the suspect who has not been identified is accused of killing 47-year-old american teacher ibolya ryan last week in the restroom of an upscale mall in abu dhabi|last|尚,未,确定,的,犯罪,嫌疑人,被,指控,杀害,年,仅,47,岁,的,美国,老师,ibolya,瑞安,上周,在,阿布扎比,的,一,个,高档,商场,的,洗手间|上|上周|adjective|最后|持续|持续(verb)+延续(verb)+历时(verb)+最后(adjective)+上(adjective)+上个(adjective)+最后(adverb)+在大家之后(adverb)+末(noun)+底(noun)+剩余(noun)+|
the suspect who has not been identified is accused of killing 47-year-old american teacher ibolya ryan last week in the restroom of an upscale mall in abu dhabi|week|尚,未,确定,的,犯罪,嫌疑人,被,指控,杀害,年,仅,47,岁,的,美国,老师,ibolya,瑞安,上周,在,阿布扎比,的,一,个,高档,商场,的,洗手间|周|上周|noun|周|周|周(noun)+星期(noun)+|
the accused is a female emirati national of yemeni descent the uaes interior ministry said|female|被告,是,女性,的,阿联酋,国家,也门,血统,联合,内政,部,说|女性|女性|adjective|雌|女|女(noun)+女性(noun)+母(noun)+雌性(noun)+女子(noun)+牝(noun)+雌(adjective)+女的(adjective)+|
the accused is a female emirati national of yemeni descent the uaes interior ministry said|national|被告,是,女性,的,阿联酋,国家,也门,血统,联合,内政,部,说|国|国家|adjective|国民|国民|国民(adjective)+国(adjective)+国立(adjective)+全国性(adjective)+民族的(adjective)+公民(noun)+|
the accused is a female emirati national of yemeni descent the uaes interior ministry said|interior|被告,是,女性,的,阿联酋,国家,也门,血统,联合,内政,部,说|内|内政|adjective|内|室内|室内(noun)+内部(noun)+内地(noun)+里面(noun)+内景(noun)+内(adjective)+内陆(adjective)+|
the accused is a female emirati national of yemeni descent the uaes interior ministry said|ministry|被告,是,女性,的,阿联酋,国家,也门,血统,联合,内政,部,说|部|部|noun|部|部|部(noun)+服务(noun)+牧师之职(noun)+|
police say they think ryan who was the mother of three children did not know the attacker|police|警方,说,，,他们,认为,瑞恩,是,三,个,孩子,的,母亲,不,知道,攻击者|||noun|警方|警方|警方(noun)+警察(noun)+警(noun)+治安(noun)+管辖(verb)+维持治安(verb)+|
police say they think ryan who was the mother of three children did not know the attacker|say|警方,说,，,他们,认为,瑞恩,是,三,个,孩子,的,母亲,不,知道,攻击者|说|说|verb|说|说|说(verb)+表示(verb)+称(verb)+道(verb)+发言(verb)+发痒的(verb)+告(verb)+讲(verb)+讲话(verb)+念(verb)+摅(verb)+说话(verb)+谓(verb)+言(verb)+拥(verb)+曰(verb)+云(verb)+发言权(noun)+见解(noun)+看法(noun)+意见(noun)+大概(adverb)+大约(adverb)+|
police say they think ryan who was the mother of three children did not know the attacker|think|警方,说,，,他们,认为,瑞恩,是,三,个,孩子,的,母亲,不,知道,攻击者|认为|认为|verb|认为|认为|认为(verb)+思考(verb)+想(verb)+想到(verb)+思(verb)+想起(verb)+以为(verb)+想象(verb)+设法(verb)+打量(verb)+念(verb)+料想(verb)+看(verb)+怀念(verb)+怀(verb)+关心(verb)+道(verb)+当(verb)+揣想(verb)+算(verb)+想得到(verb)+意(verb)+忆(verb)+臆断(verb)+意想(verb)+预料(verb)+预期(verb)+溯(verb)+思考(noun)+考虑(noun)+思索(noun)+|
police say they think ryan who was the mother of three children did not know the attacker|who|警方,说,，,他们,认为,瑞恩,是,三,个,孩子,的,母亲,不,知道,攻击者|||pronoun|谁|谁|谁(pronoun)+何人(pronoun)+孰(pronoun)+|
police say they think ryan who was the mother of three children did not know the attacker|mother|警方,说,，,他们,认为,瑞恩,是,三,个,孩子,的,母亲,不,知道,攻击者|母亲|母亲|noun|母亲|母亲|母亲(noun)+母(noun)+娘(noun)+仉(noun)+收养(verb)+|
police say they think ryan who was the mother of three children did not know the attacker|three|警方,说,，,他们,认为,瑞恩,是,三,个,孩子,的,母亲,不,知道,攻击者|三|三|CD||三|三()+|
police say they think ryan who was the mother of three children did not know the attacker|not|警方,说,，,他们,认为,瑞恩,是,三,个,孩子,的,母亲,不,知道,攻击者|不|不|adverb|不|不|不(adverb)+未(adverb)+无(adverb)+非(adverb)+弗(adverb)+没(adverb)+靡(adverb)+叵(adverb)+毋(adverb)+|
police say they think ryan who was the mother of three children did not know the attacker|know|警方,说,，,他们,认为,瑞恩,是,三,个,孩子,的,母亲,不,知道,攻击者|知道|知道|verb|知道|知道|知道(verb)+认识(verb)+知(verb)+懂(verb)+懂得(verb)+了(verb)+明(verb)+认(verb)+审(verb)+谂(verb)+识(verb)+通(verb)+悉(verb)+晓(verb)+晓得(verb)+知悉(verb)+|
her death came two months after the us embassy in abu dhabi issued a statement warning us citizens of an anonymous internet post|death|她,的,死,来,了,两,个,月,后,，,美国,大使馆,在,阿布扎比,发表,声明,，,警告,美国,公民,的,匿名,在,网上,发帖|||noun|死亡|死亡|死亡(noun)+长眠(noun)+死命(noun)+终(noun)+诛(noun)+|
her death came two months after the us embassy in abu dhabi issued a statement warning us citizens of an anonymous internet post|two|她,的,死,来,了,两,个,月,后,，,美国,大使馆,在,阿布扎比,发表,声明,，,警告,美国,公民,的,匿名,在,网上,发帖|||CD||二|二()+双()+贰(noun)+|
her death came two months after the us embassy in abu dhabi issued a statement warning us citizens of an anonymous internet post|after|她,的,死,来,了,两,个,月,后,，,美国,大使馆,在,阿布扎比,发表,声明,，,警告,美国,公民,的,匿名,在,网上,发帖|后|后|preposition|之后|后|后(adverb)+以后(adverb)+后面(adverb)+之后(preposition)+经过(preposition)+以后(preposition)+经(preposition)+余(preposition)+以后的(adjective)+接着(conjunction)+然后(conjunction)+随之而后(conjunction)+|
her death came two months after the us embassy in abu dhabi issued a statement warning us citizens of an anonymous internet post|us|她,的,死,来,了,两,个,月,后,，,美国,大使馆,在,阿布扎比,发表,声明,，,警告,美国,公民,的,匿名,在,网上,发帖|||pronoun|我们|我们|我们(pronoun)+|
her death came two months after the us embassy in abu dhabi issued a statement warning us citizens of an anonymous internet post|embassy|她,的,死,来,了,两,个,月,后,，,美国,大使馆,在,阿布扎比,发表,声明,，,警告,美国,公民,的,匿名,在,网上,发帖|大使馆|大使馆|noun|大使馆|大使馆|大使馆(noun)+使馆(noun)+馆(noun)+|
her death came two months after the us embassy in abu dhabi issued a statement warning us citizens of an anonymous internet post|statement|她,的,死,来,了,两,个,月,后,，,美国,大使馆,在,阿布扎比,发表,声明,，,警告,美国,公民,的,匿名,在,网上,发帖|声明|声明|noun|声明|声明|声明(noun)+陈述(noun)+说法(noun)+词(noun)+发表(noun)+发痒(noun)+论(noun)+声明书(noun)+树(noun)+树立(noun)+诉(noun)+诉说(noun)+诉状(noun)+新闻公报(noun)+臆测(noun)+|
her death came two months after the us embassy in abu dhabi issued a statement warning us citizens of an anonymous internet post|us|她,的,死,来,了,两,个,月,后,，,美国,大使馆,在,阿布扎比,发表,声明,，,警告,美国,公民,的,匿名,在,网上,发帖|||pronoun|我们|我们|我们(pronoun)+|
her death came two months after the us embassy in abu dhabi issued a statement warning us citizens of an anonymous internet post|post|她,的,死,来,了,两,个,月,后,，,美国,大使馆,在,阿布扎比,发表,声明,，,警告,美国,公民,的,匿名,在,网上,发帖|||noun|职位|职位|职位(noun)+邮(noun)+岗位(noun)+邮件(noun)+职务(noun)+拄(noun)+柱(noun)+柱子(noun)+公告(verb)+拱(verb)+寄(verb)+哨(verb)+音信(verb)+邮递(verb)+邮寄(verb)+|
that encouraged attacks against teachers at american and other international schools|against|这,鼓励,攻击,美国,及,其他,国际,学校,的,老师|||preposition|针对|针对|针对(preposition)+抵抗(preposition)+对着(preposition)+|
that encouraged attacks against teachers at american and other international schools|other|这,鼓励,攻击,美国,及,其他,国际,学校,的,老师|其他|其他|adjective|其他|其他|其他(adjective)+其它(adjective)+别(adjective)+另(adjective)+另外(adjective)+旁(adjective)+另一样子(adverb)+|
that encouraged attacks against teachers at american and other international schools|international|这,鼓励,攻击,美国,及,其他,国际,学校,的,老师|||adjective|国际的|国际的|国际的(adjective)+|
 woman arrested in uae mall killing arrest in mall attack on american teacher us woman killed in uae restroom|woman|女人,在,阿联酋,购物,中心,杀害,在,购物,中心,的,袭击,案,，,美国,老师,被,逮捕,我们,的,被捕,在,阿联酋,厕所,一,女子,死亡|女子|女子|verb||女人|女人(noun)+妇女(noun)+女子(noun)+女(noun)+妇(noun)+娘(noun)+|
 woman arrested in uae mall killing arrest in mall attack on american teacher us woman killed in uae restroom|arrest|女人,在,阿联酋,购物,中心,杀害,在,购物,中心,的,袭击,案,，,美国,老师,被,逮捕,我们,的,被捕,在,阿联酋,厕所,一,女子,死亡|逮捕|逮捕|preposition||逮捕|逮捕(verb)+拘捕(verb)+拘(verb)+阻止(verb)+抓(verb)+捉拿(verb)+捕(verb)+捕拿(verb)+逮(verb)+禁(verb)+扣(verb)+扣留(verb)+擒拿(verb)+逮捕(noun)+拘留(noun)+|
 woman arrested in uae mall killing arrest in mall attack on american teacher us woman killed in uae restroom|attack|女人,在,阿联酋,购物,中心,杀害,在,购物,中心,的,袭击,案,，,美国,老师,被,逮捕,我们,的,被捕,在,阿联酋,厕所,一,女子,死亡|击|袭击|preposition||攻击|攻击(verb)+攻(verb)+打击(verb)+攻打(verb)+犯(verb)+击(verb)+抨(verb)+抨击(verb)+砰击(verb)+掊(verb)+掊击(verb)+扑(verb)+征(verb)+攻击(noun)+进攻(noun)+发作(noun)+矛头(noun)+侵袭(noun)+征(noun)+|
 woman arrested in uae mall killing arrest in mall attack on american teacher us woman killed in uae restroom|teacher|女人,在,阿联酋,购物,中心,杀害,在,购物,中心,的,袭击,案,，,美国,老师,被,逮捕,我们,的,被捕,在,阿联酋,厕所,一,女子,死亡|老师|老师|pronoun||教师|教师(noun)+老师(noun)+师(noun)+导师(noun)+傅(noun)+教员(noun)+师长(noun)+先生(noun)+|
 woman arrested in uae mall killing arrest in mall attack on american teacher us woman killed in uae restroom|us|女人,在,阿联酋,购物,中心,杀害,在,购物,中心,的,袭击,案,，,美国,老师,被,逮捕,我们,的,被捕,在,阿联酋,厕所,一,女子,死亡|我们|我们|noun||我们|我们(pronoun)+|
 woman arrested in uae mall killing arrest in mall attack on american teacher us woman killed in uae restroom|woman|女人,在,阿联酋,购物,中心,杀害,在,购物,中心,的,袭击,案,，,美国,老师,被,逮捕,我们,的,被捕,在,阿联酋,厕所,一,女子,死亡|女子|女子|verb||女人|女人(noun)+妇女(noun)+女子(noun)+女(noun)+妇(noun)+娘(noun)+|
the embassy said it was unaware of any specific credible threat at that time|embassy|大使馆,说,，,它,在,当时,是,不,知道,任何,特定,的,可信,威胁|使馆|大使馆|noun|大使馆|大使馆|大使馆(noun)+使馆(noun)+馆(noun)+|
the embassy said it was unaware of any specific credible threat at that time|any|大使馆,说,，,它,在,当时,是,不,知道,任何,特定,的,可信,威胁|任何|任何|DT||任何|任何(pronoun)+谁(adjective)+所有的(adjective)+|
the embassy said it was unaware of any specific credible threat at that time|specific|大使馆,说,，,它,在,当时,是,不,知道,任何,特定,的,可信,威胁|特定|特定|adjective|具体|具体|具体(adjective)+特定(adjective)+个别(adjective)+明确的(adjective)+|
the embassy said it was unaware of any specific credible threat at that time|time|大使馆,说,，,它,在,当时,是,不,知道,任何,特定,的,可信,威胁|时|当时|noun|时间|时间|时间(noun)+时(noun)+时候(noun)+时刻(noun)+遍(noun)+辰(noun)+度(noun)+工夫(noun)+光阴(noun)+候(noun)+季节(noun)+年份(noun)+年华(noun)+倍(noun)+拍(noun)+拍子(noun)+期(noun)+期间(noun)+秋(noun)+趟(noun)+年头(noun)+安排正在(verb)+|
veteran teacher|veteran|资深,老师|||adjective||老将|老将(noun)+老兵(noun)+老手(noun)+老资格(noun)+退伍军人(noun)+|
veteran teacher|teacher|资深,老师|老师|老师|noun|教师|教师|教师(noun)+老师(noun)+师(noun)+导师(noun)+傅(noun)+教员(noun)+师长(noun)+先生(noun)+|
ryan was born in romania and had american and hungarian citizenship|born|瑞安,出生,在,罗马尼亚,、,,美国,和,匈牙利,公民|||verb||生来的|生来的(adjective)+天生的(adjective)+|
she had been a teacher for 17 years according to a footprints recruiting profile of her|teacher|她,已经,成为,教师,招聘,对,她,的,脚印,17,年|教师|教师|noun|教师|教师|教师(noun)+老师(noun)+师(noun)+导师(noun)+傅(noun)+教员(noun)+师长(noun)+先生(noun)+|
she had been a teacher for 17 years according to a footprints recruiting profile of her|profile|她,已经,成为,教师,招聘,对,她,的,脚印,17,年|||noun|轮廓|轮廓|轮廓(noun)+剖面(noun)+侧面(noun)+侧面像(noun)+侧影(noun)+外貌(noun)+翼部面(noun)+总则(noun)+|
last year she began teaching in abu dhabi where she lived with her children|last|去年,她,开始,教学,在,阿布扎比,她,和,她,的,孩子,住在,哪里|||adjective|最后|持续|持续(verb)+延续(verb)+历时(verb)+最后(adjective)+上(adjective)+上个(adjective)+最后(adverb)+在大家之后(adverb)+末(noun)+底(noun)+剩余(noun)+|
last year she began teaching in abu dhabi where she lived with her children|year|去年,她,开始,教学,在,阿布扎比,她,和,她,的,孩子,住在,哪里|年|去年|noun|年|年|年(noun)+年度(noun)+岁(noun)+春秋(noun)+年头(noun)+秋(noun)+|
last year she began teaching in abu dhabi where she lived with her children|where|去年,她,开始,教学,在,阿布扎比,她,和,她,的,孩子,住在,哪里|哪里|哪里|adverb|哪里|哪里|哪里(adverb)+何处(adverb)+哪儿(adverb)+曷(adverb)+何在(adverb)+往哪里(adverb)+奚(adverb)+|
before that she taught special education in her ex-husbands native colorado|before|在此之前,，,她,在,她,前夫,本机,科罗拉多州,教,特殊,教育|之前|在此之前|preposition|之前|之前|之前(preposition)+以前(preposition)+往时(preposition)+以往(preposition)+前(adverb)+以前(adverb)+面前(adverb)+曾(adverb)+曾经(adverb)+从前(adverb)+先前(adverb)+先头(adverb)+以往(adverb)+在先(adverb)+早先(adverb)+在 ... 以前(conjunction)+|
before that she taught special education in her ex-husbands native colorado|special|在此之前,，,她,在,她,前夫,本机,科罗拉多州,教,特殊,教育|特殊|特殊|adjective|特别|特别|特别(adjective)+特殊(adjective)+专用(adjective)+专门(adjective)+特(adjective)+特定(adjective)+附加的(adjective)+精干(adjective)+殊(adjective)+特刊(adjective)+特制(adjective)+专(adjective)+|
before that she taught special education in her ex-husbands native colorado|education|在此之前,，,她,在,她,前夫,本机,科罗拉多州,教,特殊,教育|教育|教育|noun|教育|教育|教育(noun)+教学(noun)+教养(noun)+文化(noun)+学术(noun)+学问(noun)+|
before that she taught special education in her ex-husbands native colorado|native|在此之前,，,她,在,她,前夫,本机,科罗拉多州,教,特殊,教育|||adjective|土著|土著|土著(adjective)+迹先(adjective)+素(adjective)+本地人(noun)+土人(noun)+|
surveillance video released by police shows the moments before and after the mall stabbing|video|经,警方,已,释放,的,监控,录像,显示,之前,,,,和,之后,购物,中心,刺伤,的,时刻|||noun|视频|视频|视频(noun)+动态影像(noun)+影像的(adjective)+|
surveillance video released by police shows the moments before and after the mall stabbing|police|经,警方,已,释放,的,监控,录像,显示,之前,,,,和,之后,购物,中心,刺伤,的,时刻|警方|警方|noun|警方|警方|警方(noun)+警察(noun)+警(noun)+治安(noun)+管辖(verb)+维持治安(verb)+|
surveillance video released by police shows the moments before and after the mall stabbing|before|经,警方,已,释放,的,监控,录像,显示,之前,,,,和,之后,购物,中心,刺伤,的,时刻|之前|之前|preposition|之前|之前|之前(preposition)+以前(preposition)+往时(preposition)+以往(preposition)+前(adverb)+以前(adverb)+面前(adverb)+曾(adverb)+曾经(adverb)+从前(adverb)+先前(adverb)+先头(adverb)+以往(adverb)+在先(adverb)+早先(adverb)+在 ... 以前(conjunction)+|
surveillance video released by police shows the moments before and after the mall stabbing|after|经,警方,已,释放,的,监控,录像,显示,之前,,,,和,之后,购物,中心,刺伤,的,时刻|之后|之后|preposition|之后|后|后(adverb)+以后(adverb)+后面(adverb)+之后(preposition)+经过(preposition)+以后(preposition)+经(preposition)+余(preposition)+以后的(adjective)+接着(conjunction)+然后(conjunction)+随之而后(conjunction)+|
the video later shows the suspect running to an elevator and leaving the mall through the same parking lot doors|video|后来,录像带,嫌疑人,跑到,电梯,和,离开,通过,同一,停车场,门,购物,中心|||noun|视频|视频|视频(noun)+动态影像(noun)+影像的(adjective)+|
the video later shows the suspect running to an elevator and leaving the mall through the same parking lot doors|later|后来,录像带,嫌疑人,跑到,电梯,和,离开,通过,同一,停车场,门,购物,中心|||adverb|后来|后来|后来(adverb)+后(adverb)+以后(adverb)+后面(adverb)+更迟(adverb)+既而(adverb)+他日(adverb)+往后(adverb)+以后(adjective)+之后(adjective)+底下(adjective)+回头(adjective)+|
the video later shows the suspect running to an elevator and leaving the mall through the same parking lot doors|suspect|后来,录像带,嫌疑人,跑到,电梯,和,离开,通过,同一,停车场,门,购物,中心|疑|嫌疑人|adjective|可疑的|怀疑|怀疑(verb)+疑(verb)+猜想(verb)+猜(verb)+犯疑(verb)+疑心(verb)+可疑分子(noun)+涉嫌人(noun)+可疑的(adjective)+有嫌疑的(adjective)+|
the video later shows the suspect running to an elevator and leaving the mall through the same parking lot doors|elevator|后来,录像带,嫌疑人,跑到,电梯,和,离开,通过,同一,停车场,门,购物,中心|电梯|电梯|noun|电梯|电梯|电梯(noun)+升降机(noun)+吊卡(noun)+|
the video later shows the suspect running to an elevator and leaving the mall through the same parking lot doors|same|后来,录像带,嫌疑人,跑到,电梯,和,离开,通过,同一,停车场,门,购物,中心|同一|同一|adjective||相同|相同(noun)+同样的事物(noun)+同(pronoun)+同一(pronoun)+同样(pronoun)+一样(pronoun)+仝(pronoun)+一样(adverb)+如出一辙(adverb)+所谓(adverb)+一般(adverb)+|
the video later shows the suspect running to an elevator and leaving the mall through the same parking lot doors|lot|后来,录像带,嫌疑人,跑到,电梯,和,离开,通过,同一,停车场,门,购物,中心|||noun|阄|阄|阄(noun)+命(noun)+命运(noun)+运(noun)+运气(noun)+遭(noun)+遭遇(noun)+抽签(verb)+|
reem island where the attack occurred is a newly developed area popular with expatriates in the capital|island|reem,岛,，,袭击,发生,是,一,个,新兴,的,地区,很受,外派,人员,在,首都|岛|岛|noun|岛|岛|岛(noun)+洲(noun)+|
reem island where the attack occurred is a newly developed area popular with expatriates in the capital|where|reem,岛,，,袭击,发生,是,一,个,新兴,的,地区,很受,外派,人员,在,首都|||adverb|哪里|哪里|哪里(adverb)+何处(adverb)+哪儿(adverb)+曷(adverb)+何在(adverb)+往哪里(adverb)+奚(adverb)+|
reem island where the attack occurred is a newly developed area popular with expatriates in the capital|attack|reem,岛,，,袭击,发生,是,一,个,新兴,的,地区,很受,外派,人员,在,首都|击|袭击|noun|攻击|攻击|攻击(verb)+攻(verb)+打击(verb)+攻打(verb)+犯(verb)+击(verb)+抨(verb)+抨击(verb)+砰击(verb)+掊(verb)+掊击(verb)+扑(verb)+征(verb)+攻击(noun)+进攻(noun)+发作(noun)+矛头(noun)+侵袭(noun)+征(noun)+|
reem island where the attack occurred is a newly developed area popular with expatriates in the capital|area|reem,岛,，,袭击,发生,是,一,个,新兴,的,地区,很受,外派,人员,在,首都|地区|地区|noun|区|区|区(noun)+区域(noun)+地区(noun)+面积(noun)+领域(noun)+带(noun)+地方(noun)+地域(noun)+范围(noun)+境(noun)+空地(noun)+|
reem island where the attack occurred is a newly developed area popular with expatriates in the capital|popular|reem,岛,，,袭击,发生,是,一,个,新兴,的,地区,很受,外派,人员,在,首都|||adjective|流行|流行|流行(adjective)+受欢迎(adjective)+普及(adjective)+通俗(adjective)+得人心(adjective)+民间(adjective)+普(adjective)+热(adjective)+有人缘儿(adjective)+|
reem island where the attack occurred is a newly developed area popular with expatriates in the capital|capital|reem,岛,，,袭击,发生,是,一,个,新兴,的,地区,很受,外派,人员,在,首都|首都|首都|noun|资本|资本|资本(noun)+首都(noun)+资(noun)+本金(noun)+本钱(noun)+大写(noun)+都(noun)+都城(noun)+国都(noun)+会(noun)+京(noun)+老本(noun)+栌(noun)+首都的(adjective)+资本的(adjective)+|
the motive of the killing was still unclear|motive|杀人,的,动机,是,目前,尚,不,清楚|动机|动机|noun|动机|动机|动机(noun)+发动力(noun)+意念(noun)+主题(noun)+运动的(adjective)+刺激(verb)+|
the motive of the killing was still unclear|still|杀人,的,动机,是,目前,尚,不,清楚|尚|尚|adverb|还|仍然|仍然(adjective)+仍(adjective)+静止(adjective)+安(adjective)+安生(adjective)+澶(adjective)+寂(adjective)+寂静(adjective)+静(adjective)+阒(adjective)+侐(adjective)+恹(adjective)+还是(conjunction)+还(adverb)+依然(adverb)+依旧(adverb)+但(adverb)+但是(adverb)+更(adverb)+尚(adverb)+犹(adverb)+宓(noun)+安慰(verb)+使 ... 安静(verb)+使 ... 放心(verb)+|
ryans ex-husband said he was shocked by the fatal stabbing but still feels safe in the uae|fatal|他们,的,前夫,说,他,感到,震惊,的,致命,一,刺,，,但,仍然,感觉,安全,在,阿拉伯,联合,酋长国|致命|致命|adjective|致命|致命|致命(adjective)+必然的(adjective)+命中注定的(adjective)+有害(adjective)+|
ryans ex-husband said he was shocked by the fatal stabbing but still feels safe in the uae|but|他们,的,前夫,说,他,感到,震惊,的,致命,一,刺,，,但,仍然,感觉,安全,在,阿拉伯,联合,酋长国|但|但|CC||但|但(conjunction)+但是(conjunction)+不过(conjunction)+而(conjunction)+然而(conjunction)+可是(conjunction)+却(conjunction)+可(conjunction)+然(conjunction)+只(conjunction)+只是(conjunction)+惟(adverb)+任何人(pronoun)+答辩(noun)+除 ... 以外(preposition)+|
ryans ex-husband said he was shocked by the fatal stabbing but still feels safe in the uae|still|他们,的,前夫,说,他,感到,震惊,的,致命,一,刺,，,但,仍然,感觉,安全,在,阿拉伯,联合,酋长国|仍然|仍然|adverb|还|仍然|仍然(adjective)+仍(adjective)+静止(adjective)+安(adjective)+安生(adjective)+澶(adjective)+寂(adjective)+寂静(adjective)+静(adjective)+阒(adjective)+侐(adjective)+恹(adjective)+还是(conjunction)+还(adverb)+依然(adverb)+依旧(adverb)+但(adverb)+但是(adverb)+更(adverb)+尚(adverb)+犹(adverb)+宓(noun)+安慰(verb)+使 ... 安静(verb)+使 ... 放心(verb)+|
ryans ex-husband said he was shocked by the fatal stabbing but still feels safe in the uae|safe|他们,的,前夫,说,他,感到,震惊,的,致命,一,刺,，,但,仍然,感觉,安全,在,阿拉伯,联合,酋长国|安全|安全|adjective|安全|安全|安全(adjective)+安(adjective)+安好(adjective)+泰(adjective)+万全(adjective)+稳当(adjective)+稳妥(adjective)+夷(adjective)+保险箱(noun)+保险(noun)+安然(adverb)+|
im totally horrified by what happened|what|我,完全,震惊,发生,了,什么,事|什么|什么|pronoun|多么|什么|什么(adjective)+哪(adjective)+奚(adjective)+多么(pronoun)+何(pronoun)+曷(pronoun)+孰(pronoun)+|
one just needs to look at the video the images of that bathroom|one|一,个,人,只,需要,看看,视频,，,浴室,的,图像|||CD||一|一()+之一()+壹()+|
one just needs to look at the video the images of that bathroom|just|一,个,人,只,需要,看看,视频,，,浴室,的,图像|只|只|adverb|只是|只是|只是(adverb)+刚刚(adverb)+只(adverb)+刚(adverb)+啻(adverb)+方(adverb)+甫(adverb)+干脆(adverb)+刚好(adverb)+光是(adverb)+才(adverb)+聊(adverb)+恰(adverb)+恰恰(adverb)+顷(adverb)+正(adverb)+止(adverb)+只不过(adverb)+简直(adverb)+公正(adjective)+公(adjective)+公平(adjective)+合乎正道的(adjective)+合理的(adjective)+义(adjective)+允(adjective)+直(adjective)+|
one just needs to look at the video the images of that bathroom|look|一,个,人,只,需要,看看,视频,，,浴室,的,图像|看|看看|verb|看|看|看(verb)+朝向(verb)+瞅(verb)+观(verb)+举目(verb)+睊(verb)+留心(verb)+面向(verb)+盼(verb)+觑(verb)+像(verb)+形(verb)+张(verb)+注视(verb)+注意(verb)+看(noun)+神色(noun)+目光(noun)+神情(noun)+脸色(noun)+面貌(noun)+面目(noun)+面容(noun)+模样(noun)+容(noun)+色(noun)+神(noun)+神采(noun)+眼(noun)+|
one just needs to look at the video the images of that bathroom|video|一,个,人,只,需要,看看,视频,，,浴室,的,图像|视频|视频|noun|视频|视频|视频(noun)+动态影像(noun)+影像的(adjective)+|
